㔿:;10009.040	說文「㔿、卪也。闕」。从反卪。
㐄:;10009.060	說文夂部「从反夂、𩰫从此」
㸦:;10013.010	廣韻、胡誤切。同互。廣韻「互、差互。俗作㸦」。
㐀:&-SH,⺊0,一0	;10015.030	同丘。玉篇
㐁:+HPN2,囗0	;10019.020	說文「从𧮫省、象形」
㐩:-井,井	;10023.010	龍龕手鑑井部「㐩、酒器」
㽎:;10026.150	廣韻、徒含切。又、許金切。
㠯:;10029.020	同以。
㐅:;10031.040	說文丿部
㐌:/PH,也	;10036.020	正字通乙部
㐆:..𠂆0,HZHH,HZG	;10038.080	說文㐆部「从反身」
㸚:;10039.040	說文「二爻也」。
㐖:;10053.130	集韻屑韻
㐨:-予,予	;10055.060	集韻震韻「㐨、時刃切。堪㐨、魚名」
㐜:-求,九	;10056.020	同仇。集韻尤韻「仇、或作㐜」
㔹:;10059.060	說文「从十、力聲」。
㔺:;10060.010	同世。龍龕手鑑「㔺、音世」。字彙補「㔺、同世」。
㔻:;10060.140	同丕。廣韻「㔻、同丕」。
㔼:;10066.040	同榫。正字通「㔼、俗榫字」。
㕃:;10069.030	玉篇、音溪。
㕄:;10069.100	龍龕手鑑、之是反。同「致也」「至也」「均也」「平也」「聲也」。
㕂:;10069.170	一、集韻、魚音切。同吟。玉篇「㕂、古文吟」。又同崟。集韻「崟、說文『山之岑崟也』。亦作㕂」。
㕆:;10069.260	說文「从厂、古聲」。
㕅:;10070.020	玉篇、古洽切。
㕇:;10070.080	說文「从厂、立聲」。
㕉:;10071.100	集韻、渴合切。又、同𢈈。集韻「𢈈、擪也。或从厂」。
㕈:;10071.140	廣韻、於豈切、又、烏繢切、於改切。
㕊:;10071.210	說文「从厂、甫聲」。
㕌:;10074.010	集韻、牛代切。
㕍:;10074.080	同堆。玉篇「㕍、亦堆字」。
㕋:;10075.010	說文「从厂、金聲」。
㕎:;10075.230	廣韻、苦盍切。
㕏:;10077.040	廚譌字。字彙補「㕏、廚字之譌」。
㕑:;10077.120	同厨。
㕐:;10080.010	一、集韻、洗野切。二、四夜切。
㕒:;10080.130	說文「从厂、義聲」。
㕔:;10080.231	?
㔷:;10084.090	說文、「从匸、丙聲」。
㔯:;10085.050	一、廣韻、似宣切。二、集韻、式撰切。
㔰:;10085.070	𠄨譌字。字彙補「㔰、古文恆。卽𠄨字之誤」。
㔱:;10088.010	同庾。集韻「庾、或作㔱」。
㔸:;10089.030	廣韻、土雞切。
㔳:;10089.060	同簋。說文「㔳、古文簋」。
㔲:;10089.061	?
㔴:;10089.090	說文「从匚、異聲」。
㔵:;10090.040	改併四聲篇海所引川篇、音選。
㔶:;10091.090	說文、「从匚、贛聲」。
㔽:;10094.090	同卣。龍龕手鑑、爲卣俗字。
㒳:;10100.080	同兩。玉篇「㒳、今作兩」。
㒺:;10100.141	?
㒼:;10101.030	說文「㒼、平也。从廿、五行之數二十分爲一辰。㒳、㒼平也。讀若蠻」。慧琳一切經音義所引說文「㒼、平也。从廿、凡五行之廿。㒳、平也、故从㒳」。
㒰:;10111.030	同全。說文入部「㒰、完也。从入、从工。全、篆文㒰、从玉」。
㐱:/PN,彡	;10111.090	同鬒。說文彡部
㐲:-人1,大	;10113.010	廣韻泰韻
㐳:-人1,兀	;10113.030	一云、同卼。集韻没韻「卼、或作㐳」。一云、同兀。正字通人部「㐳、同兀」
㐰:-人1,口	;10114.020	同信。說文言部「㐰、古文从言省」
㐴:-人1,夕	;10115.010	同攀。玉篇人部「㐴、俗攀字」
㒲:;10117.030	同財。龍龕手鑑「㒲、古文、音財」。字彙補「㒲、古文財字」。
㐻:-人1,內	;10122.010	集韻隊韻「㐻、人名」。奴對切
㐹:-人1,气	;10122.050	同仡。正字通人部「㐹、仡本字」
㐼:-人1,升	;10123.010	漢語大字典云「抍（拯）的譌字」。不知所據。
㐺:-人1,-人1,人	;10124.030	說文「从三人」。
㐸:-人1,欠	;10125.020	同欠。廣韻梵韻「㐸、俗欠字」
㒴:;10129.040	改併四聲篇海所引餘文「㒴、出也」、古忽切。
㑂:-人1,丙	;10130.050	同仿。說文人部「㐻、籒文仿从丙」。㐻、誤植。當作㑂。
㑅:-人1,&PH,&SH,一0	;10136.010	同作。正字通人部「作、本作㑅」
㑇:-人1,&PHP,HZHH	;10137.080	「"㑳"的簡化字。」
㑁:-人1,出	;10140.040	同𠭴。集韻術韻「𠭴、短皃。或从人」
㑄:-人1,母	;10141.050	同侮。說文人部「侮、古文从母」
㑃:-人1,幼	;10141.060	同拗。廣韻「㑃、很也、戾也。出字林」。字彙人部「㑃、與拗同」
㑌:-人1,匡	;10143.120	同尩。字彙人部「㑌、與尩同」
㑐:-人1,尗	;10147.050	改併四聲篇海所引川篇「音叔」
㑋:-人1,曲	;10147.110	玉篇人部「㑋、小皃」。集韻、去仲切。
㑍:-人1,耒	;10149.010	集韻、盧對切。
㑑:;10149.061	?
㑉:-人1,夙	;10151.010	廣韻、息逐切
㑊:-人1,亦	;10152.030	改併四聲篇海所引餘文「音亦」。
㑏:-人1,守	;10154.020	佇譌字。正字通「㑏、佇字之譌」
㑚:-人1,那	;10154.070	字彙人部「㑚、奴何切、音那」
㑎:-人1,/巛0,山0	;10155.010	集韻、乃老切。
㑝:-人1,弄	;10156.100	同𢙱。集韻送韻「𢙱、戇愚也。或从人。」
㑘:-人1,戒	;10156.120	同价。集韻「价、或作㑘」
㑜:-人1,折	;10156.130	廣韻、餘制切、丑例切
㑢:;10156.141	?
㑙:-人1,𦔮	;10156.150	廣韻帖韻、丁愜切
㑛:-人1,束	;10157.040	廣韻、桑谷切、又書玉切
㑟:-人1,兵	;10163.020	廣韻、布梗切
㑗:-人1,身	;10163.040	說文人部「从人、身聲」
㑞:-人1,灷	;10166.030	說文「从人、灷聲」
䘮:;10169.060	同喪。
㑣:-人1,林	;10172.010	集韻、盧含切
㫦:;10176.030	集韻、他刀切。「日色」。
㑥:-人1,易	;10178.010	說文「从人、易聲」
㑧:-人1,季	;10179.070	悸譌字。字彙補人部「案是悸字之譌」
㑦:-人1,戾	;10184.080	一云、怒。廣雅釋詁二「㑦、怒也」。一云、同戾。正字通人部「戾、俗作㑦」
㑤:-人1,苗	;10186.150	同媌。集韻效韻「媌、或作㑤」
㑯:-人1,頁	;10188.050	玉篇、思主切。一云、姓。見玉篇。一云、偦字譌。字彙人部「㑯、偦字之譌。考姓譜無㑯字」
㑮:-人1,軍	;10195.090	說文「从人、軍聲」
㑱:-人1,柔	;10198.070	同𧳨。字彙補人部「㑱、唐韻與𧳨同」
㑰:-人1,彖	;10198.090	𤸁譌字。字彙人部「㑰、古無此字、楊升菴集中見之、義與𣨶同。」正字通人部「楊集本作𤸁、𤸁𣨶音義同、譌作㑰、非」
䓥:;10198.100	改併四聲篇海所引俗字背篇、力曷切。
㑸:-人1,/古,可	;10201.020	改併四聲篇海所引搜眞玉鏡「㑸、銀嬌切」
䖺:;10202.130	玉篇、大幺切。
㑶:-人1,氣	;10203.080	一云、怒。見玉篇・集韻。一云、同愾。正字通人部「㑶、俗愾字」
㑺:-人1,/隹,乃0	;10203.090	同俊。龍龕手鑑人部「俊或作㑺」
㑳:-人1,芻	;10204.060	同媰。集韻宥韻「媰、娠也。或从人」
㑵:-人1,疾	;10205.010	同嫉。說文人部「从人、疾聲」「嫉、㑵或从女」
㑴:-人1,/帚,又	;10206.100	同侵。說文人部。正字通人部「㑴、侵本字」
㑷:-人1,能	;10206.130	同態。說文心部「態、意也。㑷、或从人」
㑽:-人1,堂	;10210.160	同傏。篇海類編「㑽、㑽突、不遜也。同傏」。字彙「㑽、同傏」
㑼:-人1,略	;10211.020	玉篇、力却切
㒁:-人1,圉	;10211.030	同俣。集韻「俣、說文『大也』。或作㒁」。字彙「㒁、同俣」
㑾:-人1,䚻	;10213.050	說文「从人、䚻聲」
㒀:-人1,啻1	;10214.090	集韻、陟革切、展賈切
㑻:-人1,密	;10215.050	廣韻、莫八切。
㑿:-人1,巢	;10215.110	廣韻、士絞切
㒃:-人1,貳	;10216.070	同貳。集韻「貳、或从人」
㒈:-人1,敢	;10216.130	廣韻、許鑑切
㒓:-人1,達	;10217.020	一云、逃。見方言。一云、同達。集韻「㒓、行不相遇國作達」
㒋:-人1,斯	;10217.040	同廝。玉篇「㒋、與廝同」
㒖:-人1,/艸1,禺	;10217.110	同藕。字彙補「㒖、同藕」
㒉:-人1,棠	;10219.030	同惝。集韻「惝、惝然、惘也。或作㒉」
㒇:-人1,無	;10220.020	一云、慢。玉篇。一云、同憮。廣韻「㒇、上同」以指憮字。
㒎:;10220.030	集韻、悉盍切
㒆:-人1,翕	;10220.100	同歙。集韻「老子『將欲㒆之』。通作歙」
㒄:-人1,然	;10220.130	說文「从人、然聲」
㒅:-人1,袲	;10221.030	廣韻、康禮切
㒌:-人1,焭	;10222.030	同煢。玉篇「㒌、古煢字」
㒍:-人1,絫	;10223.040	集韻、倫追切。集韻㒍字「或作儽傫」。漢語大字典親字誤。說文段注、改人部儽字爲㒍。今不採。
㒂:-人1,著	;10223.130	集韻、陟略切
㒗:;10223.131	?
㒘:;10224.031	?
㒑:-人1,匯	;10224.090	集韻、苦猥切、戶賄切
㒒:;10224.110	同僕。字彙「㒒、與僕同」
㒔:-人1,蜀	;10225.090	廣韻、市玉切、徒谷切。又、集韻、他谷切。
㒕:-人1,雍	;10228.010	玉篇、烏江切
㒜:-人1,與	;10231.040	集韻、演女切
㒚:-人1,㥯	;10231.080	廣韻、於靳切。又、同穩。集韻「㒚、安也。通作穩」
㒛:-人1,翟	;10232.070	集韻、徒了切
㒊:-人1,歰	;10232.080	集韻、色立切
㒙:-人1,綿	;10232.100	集韻、彌延切
㒝:-人1,蔑	;10233.010	廣韻、莫結切、又、望發切
㒞:-人1,/屮4,/隹,SHZHSHZG	;10235.040	同儶。字彙「㒞、同儶」
㒠:-人1,韰	;10236.080	廣韻、胡介切
㒟:-人1,褭	;10236.140	廣韻、奴鳥切
㒡:-人1,繇	;10237.110	字彙補、以周切
㒤:-人1,聶	;10238.070	說文「从人、聶聲」。
㒥:-人1,豐	;10238.090	廣韻、敷戎切。
㒦:-人1,/畾,土	;10238.100	一云、同儡。集韻、魯猥切、「儡、傀儡、木偶戲。或作㒦」。字彙「㒦、與儡同」。又、字彙、力遂切。
㒨:;10239.050	同仙。集韻「㒨、古文」。指仙字。
㒧:-人1,離	;10239.090	同儷。集韻「儷、或从離」。
㒩:;10240.080	同倮（裸）。字彙補「㒩、與倮同」。
㒷:;10244.030	同興。宋元以來俗字譜「興」。
㒶:;10244.060	同公。集韻「公、古作㒶」。
